檔案名稱,副檔名,空間型態,座標系統,資料範圍,資料名稱,備註
Popn_TWN2,".dbf, .prj, .qpj, .shp, .shx",面資料,3826,全台灣,鄉鎮市區三級年齡及性別人口統計,
Taiwan_county,".cpg, .dbf, .prj, .qpj, .shp, .shx",面資料,3826,全台灣,縣市性別人口統計,無金門縣、連江縣
Taipei_Vill,".dbf, .prj, .qpj, .shp, .shx",面資料,3826,台北市,村里人口統計,
Taipei_village,".cpg, .dbf, .prj, .shp, .shx",面資料,3826,台北市,村里五歲年齡組人口統計,
TPE,".dbf, .prj, .sbn, .sbx, .shp, .shx",面資料,3826,台北市,市界範圍,無欄位
TainanCounty,".dbf, .prj, .shp, .shx",面資料,3826,台南市,市界範圍,無欄位
flood,".dbf, .prj, .shp, .shx",面資料,3826,台北市,淹水範圍,配合課程【3】實習
EPA_STN1,".dbf, .prj, .qpj, .shp, .shx",點資料,3826,台北市,環保署空氣品質測站點位資料,
Tpe_Fastfood,".cpg, .dbf, .prj, .qpj, .shp, .shx",點資料,3826,台北市,速食店點位,
FASTFOOD,".cpg, .dbf, .prj, .qpj, .shp, .shx",點資料,3826,台北市,速食店點位,欄位僅有ID，點位同Tpe_Fastfood
SCHOOL,".cpg, .dbf, .prj, .qpj, .shp, .shx",點資料,3826,台北市,公私立國小點位,
Schools,".cpg, .dbf, .prj, .shp, .shx",點資料,3826,台南市,各級學校點位,
Tempcycle_twd97,".dbf, .prj, .sbn, .sbx, .shp, .shx",點資料,3826,全台灣,寺廟點位,
point_event,".dbf, .sbn, .sbx, .shp, .shx",點資料,無,全台灣,登革熱病例點位時空資料,配合課程【4】實習；資料中有提供座標，CRS為3826，學生可以練習設定
point1,.csv,點座標,3826,台北市,DualKDE練習資料點1,配合課程【8】
point2,.csv,點座標,3826,台北市,DualKDE練習資料點2,配合課程【8】
Sample,.Rdata,,,,R空間繪圖範例資料1,配合課程【1】
Sample2,.Rdata,,,,R空間繪圖範例資料2,配合課程【2】
Sample3,.Rdata,,,,R空間繪圖範例資料3,配合課程【3】
